system:index,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,.geo
229_0,0.08792744,0.07857035,0.0894026,0.08683744,0.07858614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.369544863531822,31.52803677945023]}"
230_0,0.1286988,0.14563984,0.10666775,0.11170628,0.11193863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.978791437785385,31.443415479686173]}"
231_0,0.27032477,0.3299414,0.33135915,0.3011934,0.3360377,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.436743421065814,31.69593190605217]}"
232_0,0.35513735,0.2911424,0.3092869,0.215935,0.26090822,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.872246670806958,31.664940028750046]}"
233_0,0.109105885,0.10500566,0.10287207,0.106626965,0.09799659,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.898387645574836,30.610138222136904]}"
234_0,0.17333949,0.20749931,0.15998577,0.16084006,0.14191295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.1560244690603145,31.81882143691972]}"
235_0,0.10669353,0.111232795,0.105054244,0.109409615,0.10609966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.8374818693115325,31.187126129126874]}"
236_0,0.14591321,0.14264783,0.12893201,0.1374885,0.1278661,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.5109488378159375,31.805077213072693]}"
237_0,0.09818638,0.09953507,0.09230216,0.11400378,0.10678747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.643890351301924,30.56297666972063]}"
238_0,0.113222085,0.10587988,0.11303778,0.119992465,0.109294035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.604544141857489,31.02731584008201]}"
239_0,0.13189635,0.1498467,0.13877442,0.1499985,0.14610653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.5400542530214105,31.189821074979232]}"
240_0,0.086009875,0.09175725,0.092283346,0.09000524,0.083722,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.667161291442471,31.293576490295035]}"
241_0,0.085063085,0.08329628,0.08667234,0.077466674,0.078025095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.830111109699901,30.71820555081648]}"
242_0,0.12078207,0.11824136,0.118631735,0.12383998,0.11126819,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.383747393584613,30.724403926276906]}"
243_0,0.11723979,0.11511704,0.100580655,0.10946599,0.09713384,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.7125307875723585,30.53036782490709]}"
244_0,0.14731659,0.14041433,0.14110678,0.15481327,0.14015196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.239917968033375,31.694314938540753]}"
245_0,0.11389223,0.15793355,0.09441594,0.13171098,0.097306415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.775862015102785,31.96839093172562]}"
246_0,0.24190311,0.21323055,0.1978769,0.16231401,0.19000503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.842063277260542,31.751986779781227]}"
247_0,0.0729874,0.07116469,0.08656079,0.08948808,0.077199355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.441324829014824,30.578876850249543]}"
248_0,0.13743654,0.12045398,0.12190818,0.115970396,0.10751158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.274952264114036,31.999113314442507]}"
249_0,0.085317045,0.08743697,0.07694674,0.08969489,0.09118402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.975907680312499,30.73841764470917]}"
250_0,0.24892466,0.24407667,0.2294762,0.2426768,0.21364276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.267770316122932,31.688925046836037]}"
251_0,0.074879065,0.071862146,0.0686973,0.07549915,0.07019923,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.975463096952291,30.87774634527611]}"
252_0,0.10610665,0.09419072,0.10575349,0.12538172,0.11285355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.527468690480034,30.57213948561865]}"
