system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
18_0,3594.0,3496.0,918.0,1350.0,1982.0,2220.0,2275.0,2362.0,2334.0,2398.0,0.11985835,0.267101,-0.1993139,-0.21255061,0.081557,180.0,1178.0,150.28265,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,4781.0,4390.0,1529.0,2185.6667,2981.5,3283.6667,3369.0,3463.3333,3560.0,3574.0,0.14487854,0.23919474,-0.10440251,-0.14638533,0.088435374,142.98589,1827.0,149.42188,15.845146,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,4796.0,4402.0,1334.0,1963.0,2922.0,3144.0,3297.0,3441.0,3562.0,3555.0,0.14427412,0.28941175,-0.105474636,-0.14764297,0.0987045,353.92175,1993.0,155.43655,10.152473,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,3614.0,3496.0,908.0,1405.0,2106.0,2352.0,2412.0,2551.0,2555.0,2563.0,0.13391791,0.29040405,-0.15551148,-0.17166477,0.09633126,210.37274,1082.0,149.1141,4.292093,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,2446.425,2087.6667,1069.2222,1485.0,1875.5,2029.0,2063.0,2120.8,2099.75,2081.375,0.10509255,0.17149034,0.00288561,-0.076256424,0.056411546,95.736595,1991.0,198.27158,17.947144,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,4477.0,4013.0,1693.0,2424.0,3330.0,3588.0,3808.0,3937.0,4074.0,4047.0,0.16376844,0.25392428,0.00754297,-0.04712899,0.10048623,90.0,1184.0,148.30118,1.0873336,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,4086.75,3787.9167,1103.9286,1633.8,2386.3333,2635.6667,2713.0833,2822.3333,2830.125,2908.0,0.12508702,0.26799843,-0.14472434,-0.18167526,0.0850753,138.52896,1507.0,171.5317,4.939032,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,4444.0,3874.0,1158.0,1691.0,2439.0,2709.0,2823.0,2956.0,3029.0,3120.0,0.16427219,0.28347456,-0.12241054,-0.18934833,0.107900515,130.39938,2643.0,172.28346,11.299718,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,3888.75,3599.8333,1077.6,1568.6888,2251.2856,2483.0,2580.75,2677.1667,2703.0,2783.875,0.13890845,0.2655416,-0.14229049,-0.17988394,0.09117649,104.2997,2114.0,184.86987,11.123463,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,4722.0,4351.75,1246.625,1864.3334,2762.75,3023.3333,3122.0,3259.0,3294.6667,3366.6667,0.12637629,0.2772501,-0.13824557,-0.17804572,0.087812476,44.35745,1808.0,153.40944,15.199567,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,5344.1665,4694.5,1296.1818,2065.3635,3283.5,3649.9624,3775.5444,3946.5,3998.05,3988.125,0.12779278,0.3187456,-0.080120325,-0.14408962,0.09813158,229.56644,1486.0,147.2965,1.4297675,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,4521.0,4136.0,1479.0,2159.0,3165.0,3429.0,3525.0,3656.0,3662.0,3704.0,0.10747805,0.25820306,-0.060784817,-0.104973726,0.07279918,130.46509,1158.0,150.28265,1.4288454,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,5418.0,4892.0,1706.0,2522.0,3595.0,3950.0,4006.0,4131.5,4165.0,4223.0,0.11011514,0.24570061,-0.080269404,-0.13075237,0.073453605,190.06734,1912.0,116.21864,28.482048,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,4234.4,3892.0,1445.0,2050.0,2721.75,2917.0,2968.0,3138.625,3158.5,3165.5,0.12619185,0.2128252,-0.10403518,-0.1455315,0.074274056,259.30502,2075.0,184.86987,9.895979,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,3480.4,3224.0,1196.0,1683.3334,2191.2,2354.6,2466.4,2577.0,2643.0,2639.3333,0.16558672,0.22181985,-0.09902846,-0.13675408,0.093459114,48.062424,2663.0,191.63005,24.712349,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,5358.5,4649.6665,1482.6,2232.2083,3420.0,3813.6,3910.6667,4063.375,4113.5,4182.6665,0.12828338,0.2964668,-0.061184105,-0.13144003,0.092055485,-0.0,1319.0,150.67746,4.6273675,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,4650.0,4188.0,1452.0,2064.0,2830.0,3093.0,3208.0,3366.0,3411.0,3471.0,0.15286255,0.2460274,-0.10225029,-0.15370302,0.09309406,14.634595,2453.0,165.9399,36.97519,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,2845.0,2616.0,925.0,1387.0,2089.0,2300.0,2380.0,2472.0,2505.0,2474.0,0.12835544,0.2872559,-0.021675454,-0.0635514,0.090552896,130.50117,1629.0,145.7534,5.693536,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,3678.0,3249.0,1068.0,1535.0,2086.0,2277.0,2346.0,2463.0,2451.0,2473.0,0.131144,0.22980432,-0.14,-0.20019579,0.08044963,151.77065,1462.0,153.1191,23.79522,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,3604.0,2920.0,986.1667,1385.2222,1731.0,2205.85,2900.1667,3122.25,3242.0,3351.3333,0.6060728,0.40127268,0.05225576,-0.052877594,0.30384073,329.50974,1825.0,186.57172,22.4544,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,4252.0,3885.0,1382.0,2031.0,2855.0,3116.0,3190.0,3291.0,3221.0,3291.0,0.091619104,0.22658035,-0.093442164,-0.13796334,0.060236998,130.4556,1051.0,146.54314,1.4291227,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,4308.7144,4258.0,1215.3334,1780.8,2730.5,3007.6,3089.0833,3190.8333,3238.6667,3249.8333,0.120903805,0.29044256,-0.13597153,-0.14177734,0.08513194,310.4413,1055.0,146.01923,1.4295408,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,5381.8335,4718.25,1446.75,2200.8,3422.5,3817.25,3939.25,4108.0,4151.25,4263.0,0.13167048,0.30705833,-0.06392694,-0.12908557,0.0962205,53.86114,1282.0,150.67746,9.352249,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,2724.0,2494.5,1187.1428,1568.3334,1988.2778,2145.2222,2336.2,2406.3333,2387.4,2456.0,0.18428405,0.20705807,-0.021938201,-0.06585282,0.09121377,168.94128,3423.0,366.1616,5.651832,"{""type"":""MultiPoint"",""coordinates"":[]}"
