system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
94_0,4257.0,3629.0,1139.5,1708.0,2590.0,2859.0,3039.5,3171.0,3299.0,3252.0,0.17219186,0.31775513,-0.047632795,-0.12678666,0.120393954,0.1805756,266.69757,1172.0,42.33039,15.695755,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,4132.5,3847.0,1389.5,2089.0,3046.0,3366.5,3510.0,3647.0,3672.5,3657.0,0.1358619,0.2748416,-0.02320633,-0.058936577,0.093249984,0.13986456,-0.0,148.0,41.15495,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,4501.0,4188.0,1474.0,2173.5,3292.5,3674.5,3732.5,3836.0,3888.0,3851.5,0.118258,0.28285077,-0.0371471,-0.07307188,0.08293294,0.12439075,310.76886,286.0,44.367462,2.8383436,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,4792.0,4429.0,1394.0,2122.0,3253.0,3600.0,3684.0,3819.0,3887.0,3889.0,0.12238437,0.2937261,-0.06517556,-0.10427468,0.08879552,0.13318396,246.64583,193.0,42.23073,2.3384047,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,4724.0,4389.0,1357.5,2068.0,3226.5,3557.0,3638.5,3780.5,3821.0,3832.5,0.11432912,0.29767364,-0.06918392,-0.10567583,0.08435615,0.12652525,180.0,163.0,42.102715,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,4545.0,3959.0,1184.0,1786.0,2628.0,2956.0,3105.0,3241.0,3335.0,3435.0,0.17287755,0.30247998,-0.085549764,-0.15355329,0.11856448,0.17783181,185.35553,422.0,40.137344,31.030003,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,3930.0,3456.0,1116.0,1605.0,2345.0,2648.0,2737.0,2920.0,2963.0,3080.0,0.1783241,0.29728547,-0.07680324,-0.14028725,0.11642803,0.1746256,-0.0,173.0,45.850933,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,4452.0,3881.0,1205.0,1712.0,2357.0,2829.0,3115.0,3257.0,3233.0,3573.0,0.26263717,0.30758342,-0.091088,-0.15862069,0.1567084,0.23504159,130.77983,153.0,48.09565,1.4197279,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,3521.5,3241.0,1267.5,1763.5,2370.0,2587.0,2617.0,2710.5,2726.0,2746.0,0.1196116,0.21438913,-0.086308025,-0.12733093,0.069858715,0.10477779,302.91656,338.0,43.233944,5.106759,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,4848.0,4485.0,1328.0,2093.0,3250.0,3585.0,3665.0,3847.0,3913.0,3939.0,0.12319756,0.3030303,-0.06811146,-0.10672297,0.09255898,0.13882878,-0.0,162.0,47.05546,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,3264.0,2872.0,856.0,1328.0,2062.0,2346.0,2569.0,2716.0,2722.0,2784.0,0.19020173,0.34419754,-0.026814444,-0.090544604,0.13795987,0.20691818,210.12543,188.0,56.55718,2.1436636,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,5267.0,4584.0,1451.0,2187.0,3341.0,3684.0,3822.0,3987.0,4104.0,4052.0,0.14376155,0.30472103,-0.055248618,-0.12410629,0.10248489,0.15371701,353.40906,818.0,35.000824,9.255265,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,3781.0,3516.0,728.0,1082.0,1728.0,1986.0,2180.0,2335.0,2484.0,2586.0,0.25564724,0.3931576,-0.172,-0.20702314,0.17948718,0.2691988,180.0,87.0,41.841557,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,5375.5,5017.0,1614.0,2369.0,3593.5,4004.5,4082.5,4218.0,4216.5,4282.5,0.11390646,0.2805406,-0.08669519,-0.12082986,0.07976953,0.11964663,229.20985,316.0,43.41905,1.419432,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,4532.0,3983.0,1015.0,1591.0,2465.0,2794.0,2939.0,3050.0,3209.0,3263.0,0.17906137,0.33708334,-0.107619576,-0.17090815,0.13112442,0.19666931,174.49568,523.0,37.548252,11.04266,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,6370.0,5554.0,1701.0,2468.5,3657.0,4110.5,4230.0,4394.5,4475.0,4539.5,0.1497017,0.2889753,-0.10758799,-0.1747349,0.10059026,0.15087612,284.5411,776.0,36.966114,30.125105,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,3552.5,3215.5,1243.5,1668.5,2304.0,2583.5,2646.0,2773.0,2778.0,2896.5,0.16284743,0.24952209,-0.072995745,-0.1223442,0.09327037,0.13989179,310.75845,291.0,53.506283,1.4203424,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,4281.0,3886.0,1514.5,2176.5,3114.5,3489.5,3571.0,3697.0,3715.5,3758.5,0.13603748,0.26120162,-0.022429783,-0.07071844,0.08799414,0.13198155,166.97993,146.0,42.149933,4.7489195,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,4510.5,3884.0,1149.5,1626.5,2369.0,2659.0,2842.5,2944.5,3137.5,3109.0,0.22004294,0.31717044,-0.10631631,-0.17952406,0.13956234,0.2093245,25.76871,704.0,37.5697,23.335716,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,4283.0,4074.0,1320.0,1978.0,3026.0,3358.0,3454.0,3569.0,3633.0,3618.0,0.12762825,0.29495633,-0.05722071,-0.08211218,0.09115483,0.13672198,229.18881,252.0,39.54628,1.4188281,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,4225.0,3803.5,1058.0,1679.0,2464.5,2757.5,2885.0,2997.5,2982.5,3005.5,0.1316659,0.27963102,-0.12098438,-0.17238986,0.09509822,0.14263424,319.10272,205.0,39.341686,4.8961563,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,4639.0,4245.0,1551.0,2232.0,3225.0,3544.0,3618.0,3763.0,3825.0,3843.0,0.12994325,0.26300147,-0.05204461,-0.09617202,0.08510638,0.12765051,-0.0,228.0,41.257244,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,3545.0,3142.5,807.0,1208.5,1885.0,2213.5,2663.5,2930.5,3146.5,3176.0,0.37522307,0.44500574,6.3603115E-4,-0.059553165,0.25072047,0.37604332,130.8321,144.0,47.13383,1.4182289,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,5448.0,4731.0,1751.0,2465.0,3186.0,3584.0,3865.0,4153.0,4466.0,4438.0,0.30620545,0.28870293,-0.028813744,-0.09905185,0.16727653,0.2508984,217.72055,271.0,54.970146,7.000252,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,3951.0,3118.5,3016.0,3369.5,3617.5,4059.5,4331.5,4443.0,4411.0,4609.5,0.56727195,0.13386029,0.17165814,0.055010762,0.0988354,0.14824386,49.13133,111.0,42.42679,1.4171832,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,5086.0,4791.0,1614.5,2356.5,3468.5,3813.5,3833.5,3939.0,4037.5,4012.0,0.111649625,0.2629027,-0.085348584,-0.114923,0.07580602,0.113701455,180.0,290.0,43.233944,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,3453.0,2727.5,913.5,1307.0,1763.0,2167.0,2627.0,2897.0,3135.0,3127.0,0.49979964,0.41152635,0.069509596,-0.04826958,0.28011432,0.4201286,-0.0,236.0,44.77557,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,5015.0,4747.0,1329.0,2115.0,3359.0,3735.0,3831.0,3953.0,4004.0,4013.0,0.11362435,0.30871058,-0.08490458,-0.11209668,0.087600164,0.13139132,246.64104,203.0,42.23073,4.6681476,"{""type"":""MultiPoint"",""coordinates"":[]}"
