system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
103_0,4237.0,3628.0,1413.0,2080.0,3146.0,3433.0,3541.0,3616.0,3690.0,3680.0,0.11362212,0.27902946,0.00847226,-0.06900467,0.0795787,122.73962,1529.0,140.87984,5.131134,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,4598.5,4153.5,1088.5,1685.0,2838.0,3155.0,3286.5,3448.5,3509.5,3619.0,0.1356593,0.35123688,-0.084040195,-0.1343118,0.105789684,168.96895,2045.0,184.4889,21.59464,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,2940.0,2819.0,925.0,1289.0,2002.5,2229.0,2309.0,2397.0,2399.0,2461.0,0.13256437,0.30097613,-0.08049061,-0.10132984,0.09008293,27.30858,1563.0,90.113525,9.311588,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,3298.0,2723.0,1335.0,1726.0,2308.0,2442.0,2494.0,2530.0,2516.0,2515.0,0.08185754,0.18623291,-0.039511357,-0.13450292,0.043117743,346.8644,2318.0,370.64056,4.751134,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,3159.0,2927.0,1087.0786,1533.0,2262.2,2521.0,2599.3333,2669.5833,2607.9583,2650.5,0.10765829,0.25959167,-0.05764122,-0.09555154,0.07099529,105.93965,1207.0,114.42255,3.3733997,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,4249.6665,3773.0,1133.3334,1746.7778,2514.5,2738.8333,2825.6,2992.75,3059.1667,3085.0,0.14114682,0.27307618,-0.10448124,-0.16288505,0.09772144,37.79242,1609.0,93.69536,3.5166428,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,1914.5,1781.0,874.5,1155.5,1606.5,1779.0,1791.0,1869.5,1816.0,1864.5,0.10694778,0.22227831,0.009730331,-0.026403967,0.061212566,105.98636,1417.0,77.47036,3.363821,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,2797.3333,2686.0,978.44446,1399.0,2025.0,2198.0,2213.0,2281.0,2244.0,2257.0,0.07758621,0.23195168,-0.089655176,-0.10975931,0.05130007,130.54184,1424.0,177.42747,2.8514483,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,2800.0,2516.1667,1122.0,1547.25,2039.5,2316.6667,2512.0,2604.8333,2538.4285,2640.0,0.19607565,0.24259825,0.0044042533,-0.048997853,0.10898564,288.98172,2209.0,170.6474,5.684241,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,3171.25,2889.5,940.0,1359.5,2037.0,2262.1667,2326.6667,2426.5,2429.0,2493.0,0.12891345,0.2823017,-0.08658456,-0.13253872,0.08777429,158.75055,1242.0,129.06282,8.884449,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,2759.3333,1894.5,612.0,1054.0,1233.5,1872.6666,3373.0,3977.5,4083.0,4196.6665,1.0331762,0.5896438,0.36612296,0.19345254,0.5359729,180.0,1147.0,62.106884,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,2852.5,2668.0,799.5,1289.0,2057.5,2295.5,2404.0,2499.0,2465.5,2436.5,0.115708575,0.3133573,-0.03944677,-0.07277172,0.09020562,62.66713,1647.0,121.900894,6.037483,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,3664.0,3343.0,842.0,1181.0,1845.0,2066.0,2158.0,2261.0,2306.0,2350.0,0.1631974,0.3226269,-0.1835723,-0.22747068,0.11105758,137.01395,1556.0,115.74902,18.362782,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,3779.0,3524.0,1226.0,1642.0,2312.0,2578.0,2766.0,2926.0,3099.0,3109.0,0.2529896,0.30731913,-0.064170316,-0.09886595,0.14544447,188.28168,2397.0,177.1123,7.4557486,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,2422.25,2152.5,792.75,1143.2858,1703.4,2019.0,2376.5,2535.1428,2600.3333,2649.3333,0.32610497,0.38920826,0.09422448,0.035456505,0.20840818,14.8798485,1655.0,258.6362,36.389297,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,2776.0,2242.5,589.5833,865.8,1163.4286,1458.5,1927.1428,2094.1667,2144.9285,2279.2,0.52156115,0.4248568,-0.022238888,-0.12824237,0.2966729,260.23532,1900.0,139.81831,10.807254,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,4328.5,4131.25,1674.0,2359.75,3174.8333,3444.5,3508.5,3596.0,3652.0,3603.5,0.11756351,0.21495405,-0.061574534,-0.08476912,0.06989577,270.0,1155.0,117.20441,3.2424989,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,3156.6667,2987.0,1116.6666,1572.0,2196.4,2387.75,2426.3333,2476.6667,2461.3333,2474.0,0.09115851,0.22049585,-0.09648212,-0.123768866,0.056880318,180.0,1413.0,159.66846,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,2599.0,2422.0,808.0,1120.0,1739.0,1913.0,2005.0,2093.0,2138.0,2179.0,0.15315522,0.31246164,-0.062280703,-0.09731898,0.102914624,216.065,1440.0,99.1575,9.101766,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,2490.6667,2235.5,1074.8572,1393.2858,2002.3334,2204.625,2297.3333,2358.5,2317.5,2371.5833,0.12564306,0.2490616,0.018010104,-0.03601513,0.07295805,90.0,1460.0,91.15887,1.0789956,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,3483.0,3129.0,1045.0,1541.0,2307.0,2563.0,2625.0,2714.0,2716.0,2792.0,0.117239006,0.27601597,-0.070658684,-0.12372963,0.08142544,180.0,1254.0,97.281075,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,1914.0,1746.6666,976.3,1269.0,1775.0834,1973.1666,2012.25,2065.5,2046.0,2052.2222,0.12600186,0.23438914,0.07892425,0.033333335,0.07090048,168.0669,1415.0,78.11927,10.314849,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,2045.0,1959.0,835.0,1070.0,1679.0,1859.0,1912.0,1959.0,1931.0,1923.0,0.10968921,0.28690436,-0.0071979435,-0.028672032,0.06980609,229.32893,1620.0,83.79662,1.4228604,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,4361.0,3423.0,1154.0,1756.0,3017.0,3434.0,3529.0,3706.0,3683.0,3778.0,0.12679918,0.35429308,0.0365888,-0.08428642,0.09940299,49.45426,1649.0,164.66766,9.888166,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,4787.0,4441.0,1673.3334,2406.0,3595.0,3914.0,3985.3333,4090.0,4220.0,4129.0,0.11800469,0.27377,-0.025516683,-0.062951036,0.079974405,210.32088,1557.0,182.89394,4.2898273,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,3319.0,2777.0,1183.0,1697.0,2270.0,2518.0,2698.0,2811.0,2858.0,2834.0,0.19325577,0.25488475,0.014374445,-0.0746317,0.114664584,142.6275,2706.0,398.11557,27.906015,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,2408.9092,2180.6,909.5455,1263.4667,1784.7778,1862.3334,1961.0,2039.5,2134.5,2121.2,0.14517134,0.25633958,-0.010683437,-0.060397197,0.089231275,118.69279,1319.0,97.33335,13.279707,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,2685.3333,2534.0,1042.6666,1412.3334,2070.0,2263.0,2316.5,2395.0,2377.6667,2390.0,0.11021687,0.25470537,-0.031828962,-0.06076763,0.06917486,338.80334,1323.0,81.008,2.981687,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,3355.0,2780.0,959.0,1322.0,1956.0,2204.0,2417.0,2482.0,2573.0,2548.0,0.21671936,0.321181,-0.038669907,-0.13191633,0.13623317,293.2156,1288.0,107.61623,2.3515692,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,2354.0,1972.5,812.5,1142.5,1464.0,1724.0,1961.0,2104.5,2104.0,2116.5,0.33366352,0.2961651,0.032258064,-0.05607896,0.17937219,71.795,1440.0,267.56342,14.524426,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,3627.0,3153.0,939.1667,1445.5834,2266.4285,2531.4,2583.5,2763.1667,2837.25,2841.3333,0.15192623,0.32494065,-0.052710656,-0.122171946,0.11184512,181.84998,2197.0,140.78604,30.244907,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,4399.0,3734.0,1121.0,1690.0,2521.0,2880.0,3044.0,3207.0,3278.0,3396.0,0.18929732,0.31964573,-0.06503137,-0.14602058,0.13053975,322.0815,2003.0,190.73108,3.522647,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,5510.0,4733.0,1418.0,2128.0,3275.0,3656.0,3802.0,3970.0,4049.0,4175.0,0.14810562,0.3109924,-0.07788659,-0.15284026,0.10567996,126.263596,1817.0,156.56412,9.324962,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,3246.0,3095.5,1215.0,1749.5,2460.0,2724.0,2792.5,2888.5,2905.5,2954.5,0.13020225,0.24833512,-0.03166139,-0.055352353,0.08303047,163.80492,1780.0,115.34437,7.6802025,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,4167.0,3338.5,985.5714,1552.5555,2220.8572,2578.2856,2930.1,3096.125,3218.8572,3190.2222,0.27258182,0.34922606,-0.018245585,-0.12837276,0.18346551,349.46167,1772.0,164.13623,22.373901,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,3547.0,3407.0,1096.5,1539.375,2274.1667,2498.5,2555.6667,2659.5,2691.6667,2716.125,0.128637,0.27234232,-0.11729338,-0.13710193,0.084074505,180.0,1216.0,97.00731,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,3645.0,3461.0,1092.0,1482.5,2190.3333,2405.3333,2442.0,2520.0,2505.0,2538.0,0.105479605,0.25642633,-0.16024137,-0.18536586,0.067016914,62.74828,1281.0,61.056786,6.0539565,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,2205.0,2069.0,951.25,1229.6,1818.0,2023.75,2077.5,2109.5,2059.25,2055.75,0.10338326,0.25226143,-0.0023617756,-0.034179516,0.062221937,102.15379,1323.0,93.72616,4.3967195,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,2146.0,1820.0,839.0,1156.0,1705.0,1903.0,1978.0,2057.0,2057.0,2109.0,0.14677675,0.28042328,0.061129738,-0.021175351,0.09356725,44.14651,1729.0,128.8082,7.708512,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,3249.8,2952.0,1200.625,1781.6666,2609.2,2836.375,2925.0,3021.2,3021.6,3018.5,0.10658414,0.25814378,0.011651281,-0.036387403,0.073240064,169.85542,2052.0,204.39078,12.067226,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,3163.0,2672.75,1106.0,1633.0,2409.6667,2630.0,2718.0,2758.6667,2709.0,2701.75,0.084338225,0.24781206,0.006735727,-0.077316076,0.058478754,90.0,1719.0,139.10378,4.306648,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,1713.875,1513.5,755.75,999.6667,1415.25,1553.5,1607.75,1644.5,1642.6666,1675.6666,0.12727474,0.24334551,0.04092516,-0.021214804,0.074369796,57.21348,1418.0,94.43921,15.058491,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,2673.6667,2419.6667,993.8,1434.6666,1957.0,2207.7778,2277.7778,2408.75,2456.8,2511.25,0.18521264,0.2626602,0.007614796,-0.042270362,0.11323577,169.85532,2614.0,190.54901,12.067231,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,1958.1428,1833.5,986.0,1264.15,1767.6666,1899.3334,1919.8334,1931.6666,1930.6666,1903.1666,0.07923905,0.20862436,0.025813583,-0.007065452,0.04407391,142.26425,1324.0,93.72616,7.0016747,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,4059.0,3420.0,1028.0,1522.0,2209.0,2454.0,2580.0,2723.0,2830.0,2876.0,0.18537313,0.30055147,-0.0944,-0.17840035,0.123238735,130.61916,2453.0,223.31192,1.4243624,"{""type"":""MultiPoint"",""coordinates"":[]}"
