system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
127_0,3133.0,2885.0,991.0,1423.0,1922.0,2011.0,2060.0,2158.0,2179.0,2180.0,0.102317065,0.20988339,-0.13941549,-0.17959337,0.062667646,334.28293,1065.0,146.10504,16.985151,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,2790.5,2521.5,1113.5,1589.5,2300.0,2467.0,2508.0,2558.5,2566.0,2518.5,0.08296167,0.23498978,0.008746929,-0.041911695,0.05466502,229.43494,1481.0,141.07303,1.4259319,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,4348.5,3955.0,1117.0,1676.0,2489.6667,2773.6,2846.0,2905.0,2837.5,2797.0,0.09251868,0.2573391,-0.1645197,-0.21026997,0.06529423,270.0,711.0,138.77971,4.3054132,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,3523.0,3360.0,1115.0,1641.0,2408.0,2579.0,2631.0,2702.0,2750.0,2695.0,0.09675777,0.25256205,-0.099836335,-0.12322652,0.066304766,196.21738,947.0,165.18314,3.8578637,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,3569.0,3232.0,1066.0,1656.0,2260.0,2454.0,2571.0,2682.0,2716.0,2689.0,0.13764791,0.24245197,-0.08675185,-0.13571997,0.09163987,90.0,1054.0,163.09732,1.0810579,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,3309.5,3115.5,1034.0,1496.5,2195.0,2432.5,2500.75,2588.0,2542.0,2602.25,0.1090098,0.25888324,-0.101369865,-0.13116296,0.07325312,134.93123,1598.0,179.08698,9.115047,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,4246.0,3990.5833,1108.6666,1720.5555,2631.5,2920.6667,2998.4443,3080.0,3055.5715,3076.0,0.10067628,0.2795185,-0.13269815,-0.1630373,0.074567646,30.173285,1089.0,164.69214,2.1447027,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,3834.0,3368.75,906.5,1442.0,2290.0,2538.0,2657.0,2803.0,2800.0,2853.5,0.13087326,0.32013202,-0.09219858,-0.15586373,0.100196466,155.79982,2303.0,111.97775,24.770174,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,2822.6667,2468.5,962.0,1371.0,2029.0,2247.5,2325.0,2418.0,2457.6667,2485.5,0.14447492,0.2838238,-0.002199124,-0.06912442,0.095542364,155.80133,2452.0,126.583374,12.991609,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,3283.0,2849.6,930.0,1350.0,1909.0,2204.5,2276.0,2369.5,2338.5,2453.6667,0.15747598,0.26799512,-0.09851392,-0.16801566,0.101118304,92.46444,1322.0,175.81123,20.62966,"{""type"":""MultiPoint"",""coordinates"":[]}"
